"Source","Target","score"
"CNTN1","PARKINSON'S DISEASE",0.65
"SNCAIP","PARKINSON'S DISEASE",0.641738418738438
"BCKDK","PARKINSON'S DISEASE",0.639383191807587
"SIPA1L2","PARKINSON'S DISEASE",0.637081342183376
"SPPL2C","PARKINSON'S DISEASE",0.631067674779749
"MIR4697","PARKINSON'S DISEASE",0.63
"KRTCAP2","PARKINSON'S DISEASE",0.625
"DGKQ","PARKINSON'S DISEASE",0.620260996878027
"TBC1D24","PARKINSON'S DISEASE",0.6125
"SLC2A13","PARKINSON'S DISEASE",0.591252842526442
"HLA-DRA","PARKINSON'S DISEASE",0.570099929228174
"CTSB","PARKINSON'S DISEASE",0.551046779150042
"SYT17","PARKINSON'S DISEASE",0.521982824590963
"TMEM230","PARKINSON'S DISEASE",0.513495875634624
"RAB39B","PARKINSON'S DISEASE",0.50778705748695
"PKP2","PARKINSON'S DISEASE",0.501
"SHANK3","SCHIZOPHRENIA",1
"SLC1A1","SCHIZOPHRENIA",1
"RTN4R","SCHIZOPHRENIA",1
"PRODH","SCHIZOPHRENIA",1
"GRM3","SCHIZOPHRENIA",1
"RBM12","SCHIZOPHRENIA",1
"DPP4","SCHIZOPHRENIA",1
"MTHFR","SCHIZOPHRENIA",1
"DISC1","SCHIZOPHRENIA",1
"SLC6A9","SCHIZOPHRENIA",1
"GRM2","SCHIZOPHRENIA",1
"CHI3L1","SCHIZOPHRENIA",1
"IL6R","SCHIZOPHRENIA",1
"HRH2","SCHIZOPHRENIA",1
"NT5C2","SCHIZOPHRENIA",1
"CYP2D7","SCHIZOPHRENIA",1
"ATP4A","SCHIZOPHRENIA",1
"NISCH","SCHIZOPHRENIA",1
"MPHOSPH9","SCHIZOPHRENIA",0.990044015903628
"TSNARE1","SCHIZOPHRENIA",0.989560453965854
"SETD1A","SCHIZOPHRENIA",0.989480138479466
"HLA-B","SCHIZOPHRENIA",0.968455127056118
"NRGN","SCHIZOPHRENIA",0.967065712078847
"RXRB","SCHIZOPHRENIA",0.964263888888889
"RXRA","SCHIZOPHRENIA",0.957266666666667
"RXRG","SCHIZOPHRENIA",0.956279105404893
"SLC39A8","SCHIZOPHRENIA",0.952765562094142
"FTCDNL1","SCHIZOPHRENIA",0.940505060983058
"POM121L2","SCHIZOPHRENIA",0.928763305639867
"CARMIL1","SCHIZOPHRENIA",0.923218330906565
"AS3MT","SCHIZOPHRENIA",0.906928797643886
"SFTA2","SCHIZOPHRENIA",0.905935147324815
"ZBED9","SCHIZOPHRENIA",0.904742764169386
"NOTCH4","SCHIZOPHRENIA",0.902591763714277
"STAG1","SCHIZOPHRENIA",0.899444375510588
"CNNM2","SCHIZOPHRENIA",0.895832564858228
"PPP1R16B","SCHIZOPHRENIA",0.892257793358027
"PSORS1C1","SCHIZOPHRENIA",0.866369771233179
"BTN3A1","SCHIZOPHRENIA",0.8625
"SDCCAG8","SCHIZOPHRENIA",0.85825713890963
"COA8","SCHIZOPHRENIA",0.84892197607295
"KLC1","SCHIZOPHRENIA",0.84832197607295
