external_gene_id,Module.name,kME.CD1.turquoise,kME.CD2.blue,kME.CD3.brown,kME.CD4.yellow,kME.CD5.green,kME.CD6.red,kME.CD7.black,kME.CD8.pink,kME.CD9.magenta,kME.CD10.purple,kME.CD11.greenyellow,kME.CD12.tan,kME.CD13.salmon
SLC38A6,CD0,"0,124786976","-0,255660917","-0,074629792","-0,055174069","0,294138734","-0,359377449","0,295501176","-0,178307578","-0,007735118","0,133506088","-0,05057656","0,022947839","0,287891545"
ADAM21,CD0,"0,045597482","0,195566619","-0,101050865","-0,177612652","0,001820039","0,082286687","-0,105196044","0,047771438","-0,058525151","0,065822649","-0,079745687","-0,012960633","0,092640457"
RAB15,CD1,"0,643069712","-0,079876739","-0,427263223","-0,402970151","0,280932217","0,030102926","-0,183320566","0,326851525","0,188730463","0,461848685","-0,289403387","-0,019099619","0,539482349"
ESR2,CD0,"0,013378558","0,328346036","-0,15522083","-0,036555841","-0,193448021","0,406694508","-0,282825963","0,265965111","0,012674981","-0,114219788","-0,009831219","0,070712106","-0,086699707"
EFCAB11,CD3,"-0,342032677","-0,10184531","0,313045377","0,097203668","0,080383061","-0,189022429","0,27025396","-0,328119894","-0,264566179","-0,075589847","0,149247023","-0,030419186","-0,152140251"
GPR65,CD11,"-0,213005812","0,088984777","0,121023171","0,219095081","-0,240472367","0,101643378","-0,065251712","0,022272348","0,058932463","-0,236803876","0,547653993","0,165877099","-0,315192469"
FBLN5,CD12,"0,135259901","0,028743373","-0,124134604","-0,053772393","-0,015194363","0,08968652","-0,065994113","0,149974012","0,106623028","0,046902889","0,139377728","0,564332988","0,00515987"
SERPINA10,CD6,"0,031929195","0,347846693","-0,161056904","-0,068299042","-0,237899118","0,503176557","-0,32797915","0,356348198","0,083835427","-0,122432735","0,039424859","0,165871201","-0,138716745"
C14orf79,CD1,"0,48821632","0,121984808","-0,390070353","-0,230900346","0,029696314","0,280370223","-0,313169756","0,429068409","0,162920861","0,27359561","-0,251772589","0,018218661","0,27980562"
WARS,CD10,"0,544143882","-0,317232577","-0,19588239","-0,383860797","0,473586729","-0,186720458","0,104592724","0,048396332","0,180005316","0,683591002","-0,068202585","-0,168139055","0,574112573"
NIPA2,CD5,"0,262986499","-0,394043679","-0,100330873","-0,379441841","0,71456501","-0,351958942","0,423680461","-0,276851583","-0,233617046","0,644566196","-0,075838594","-0,149875504","0,596778196"
SLC12A6,CD0,"0,083032934","-0,017292236","-0,071017853","-0,166710463","0,149050324","-0,095410171","0,041997785","-0,042735905","-0,088896627","0,144391731","-0,078576161","-0,013662571","0,180137677"
MFAP1,CD0,"0,082438187","-0,398043314","0,028802529","0,016908438","0,494113147","-0,375201928","0,449492423","-0,296932893","-0,088494625","0,377597778","-0,079909671","-0,124705168","0,328846842"
TCF12,CD3,"-0,551977576","-0,238030055","0,816352441","0,556941432","-0,177656602","-0,272466682","0,47373425","-0,390325763","0,036889908","-0,418178011","0,315516033","0,006480991","-0,480039466"
SERF2,CD4,"-0,18107769","-0,01148521","0,206608943","0,341959433","-0,190933103","0,048186417","0,034643122","0,018686436","0,112164246","-0,20637858","0,083468149","0,151858092","-0,29109091"
DUOX2,CD2,"-0,095495022","0,448900821","-0,094426744","-0,084556126","-0,279113711","0,296929494","-0,301414684","0,169222912","-0,046170754","-0,206917433","0,022327178","0,102827802","-0,186926217"
SLC27A2,CD0,"0,332073096","-0,200016174","-0,31819703","-0,292211273","0,471493277","-0,230540036","0,175160365","-0,077138006","-0,095692212","0,467593562","-0,161522678","-0,061521844","0,484035377"
FGF7,CD0,"-0,096086992","-0,11981711","0,02879133","-0,09337607","0,336212438","-0,213284885","0,330730127","-0,256259844","-0,247248079","0,130516511","0,000552076","-0,096748906","0,151478794"
HDC,CD2,"0,080686163","0,445806358","-0,271097597","-0,142017923","-0,174666304","0,388462973","-0,353886628","0,300943012","-0,03101317","-0,055925456","-0,147698202","0,086031696","-0,028922168"
GCNT3,CD2,"-0,047801657","0,482295801","-0,13684519","0,025701184","-0,289141971","0,450800749","-0,354524892","0,291205342","0,032892633","-0,164197675","0,045936257","0,105432632","-0,200270148"
BNIP2,CD4,"-0,486277715","-0,208406092","0,500658476","0,640159922","-0,171664696","-0,210733728","0,369045896","-0,303866293","-0,018441924","-0,397764983","0,370070254","0,148635863","-0,455532305"
GTF2A2,CD7,"-0,230047444","-0,410467216","0,266401609","0,005806264","0,519988325","-0,306487452","0,62473113","-0,446460076","-0,311778181","0,262579604","0,073087065","-0,00261414","0,141311998"
SRP14,CD7,"-0,211710588","-0,356341153","0,19173141","0,192517233","0,367398096","-0,3371752","0,520886457","-0,408110878","-0,2170741","0,104873253","0,000904833","-0,079237166","0,077306286"
BAHD1,CD0,"0,18914715","-0,019258933","-0,035853856","0,090792189","-0,124189373","0,113717939","-0,115014175","0,264288598","0,29225345","-0,015260891","-0,072730578","0,00396016","-0,03185514"
ANP32A,CD3,"-0,341904596","-0,323802481","0,376589442","0,137216828","0,225817852","-0,296632694","0,459736638","-0,406604762","-0,228538916","-0,035422477","0,058591811","-0,136180969","-0,10944483"
COMMD4,CD0,"0,272120213","0,001991508","0,144231636","-0,066998926","0,022622048","0,047057006","-0,074231587","0,185753273","0,292648993","0,306932162","0,062728322","0,029013339","0,041514794"
PSTPIP1,CD0,"-0,076902771","0,328241733","-0,008560931","0,125557399","-0,294465437","0,412352877","-0,248139989","0,270333251","0,110083628","-0,193665453","0,065505254","0,105280909","-0,225113736"
ETFA,CD0,"-0,24591254","-0,451509555","0,235168403","0,387819332","0,338984662","-0,369108881","0,559504211","-0,418291311","-0,199794975","0,069574719","0,083441271","-0,026691278","-0,007186445"
BCL2A1,CD0,"-0,111412514","0,027878309","-0,006117996","0,103538839","-0,05821358","0,011643866","-0,010432304","-0,033805371","-0,044635829","-0,107885992","0,227685473","0,093655529","-0,095820064"
HMG20A,CD0,"0,296605547","-0,432068934","-0,040297212","-0,100180182","0,43782915","-0,412920708","0,344719064","-0,203745092","0,039175403","0,373166726","-0,118357446","-0,22072755","0,460954694"
SCAPER,CD0,"0,120212969","-0,366755051","0,093890452","0,01112153","0,368593136","-0,375218745","0,354711963","-0,219589788","0,035128294","0,284747056","-0,121136483","-0,200834856","0,225730911"
TSPAN3,CD7,"-0,10685231","-0,383249694","0,21579468","0,242740856","0,367324365","-0,374199026","0,539563282","-0,391258223","-0,128239277","0,173475232","0,11048404","-0,162053915","0,112333667"
WDR61,CD5,"0,151666146","-0,428717412","0,088231064","-0,335208481","0,684480984","-0,413646296","0,472539846","-0,350505687","-0,229256796","0,610761726","-0,12088194","-0,135076347","0,474171875"
NCOA2,CD0,"0,025616004","-0,40436099","0,141773482","0,126079262","0,373536634","-0,50022758","0,484895982","-0,370056582","-0,080712656","0,142381437","-0,100168553","-0,195272134","0,268411606"
